,ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr,st_timestamp,et_timestamp,flow_tag,flow_type
0,2018-06-06 06:10:53,2018-06-06 06:11:03,10.194,192.168.1.216,52.193.63.246,49274,443.0,TCP,...APRSF,0.0,0.0,9.0,1242.0,8.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,4.515,177.503,191.637,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283453.0,1528283463.0,,0
1,2018-06-06 06:13:06,2018-06-06 06:13:06,0.012,192.168.1.196,192.168.1.1,4392,53.0,UDP,........,0.0,0.0,1.0,30.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283586.0,1528283586.0,,0
2,2018-06-06 06:09:06,2018-06-06 06:12:01,174.493,192.168.1.223,192.168.1.165,3092,3580.0,UDP,........,0.0,0.0,4.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283346.0,1528283521.0,,0
3,2018-06-06 06:09:48,2018-06-06 06:13:46,237.383,192.168.1.227,52.76.78.240,33983,50443.0,TCP,...AP.S.,0.0,0.0,14.0,1683.0,9.0,4227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.85,143.879,142.069,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283388.0,1528283626.0,,0
4,2018-06-06 06:09:06,2018-06-06 06:12:01,174.494,192.168.1.248,192.168.1.165,1900,3580.0,UDP,........,0.0,0.0,4.0,1356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283346.0,1528283521.0,,0
5,2018-06-06 06:12:09,2018-06-06 06:12:11,2.142,184.73.174.14,192.168.1.165,8443,4735.0,TCP,...APRSF,0.0,0.0,17.0,2918.0,18.0,10234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.9669999999999999,218.611,224.774,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283529.0,1528283531.0,,0
6,2018-06-06 06:09:07,2018-06-06 06:09:07,0.014,192.168.1.165,192.168.1.248,4978,49152.0,TCP,...AP.SF,0.0,0.0,6.0,386.0,5.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.024,1.42,1.796,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283347.0,1528283347.0,,0
7,2018-06-06 06:11:49,2018-06-06 06:11:49,0.000,192.168.1.165,132.163.4.102,3459,123.0,UDP,........,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283509.0,1528283509.0,,0
8,2018-06-06 06:13:23,2018-06-06 06:13:34,10.428,52.9.63.171,192.168.1.216,443,48668.0,TCP,...APRSF,0.0,0.0,11.0,4776.0,13.0,1189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.016,152.685,199.80200000000002,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283603.0,1528283614.0,,0
9,2018-06-06 06:11:34,2018-06-06 06:12:04,30.142,34.230.213.152,192.168.1.230,443,32889.0,TCP,...APRSF,0.0,0.0,13.0,6952.0,17.0,3299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.421,211.602,229.36700000000002,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283494.0,1528283524.0,,0
