ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2021-01-31 15:26:42,2021-01-31 15:26:42,0.000,35.244.177.4,10.0.0.182,443,52326,TCP,...AP...,0,0,1,153,1,32,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.046,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:50,2021-01-31 15:26:50,0.003,2601:246:d00:3510:4d5:6b14:15db:7d3b,2603:1036:303:3c28::2,51460,443,TCP,...AP...,0,0,4,80,4,1276,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.582,    0.094,    0.040,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:49,2021-01-31 15:26:49,0.031,2607:f8b0:4004:80a::200a,2601:246:d00:3510:4d5:6b14:15db:7d3b,443,52507,TCP,...A....,0,0,1,32,1,20,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,   31.076,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:24,2021-01-31 15:26:52,27.629,149.171.189.1,10.0.0.182,443,52514,TCP,...AP...,0,0,6311,9340280,4406,95224,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.306,    0.019,    0.016,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:38,2021-01-31 15:26:38,0.031,2601:246:d00:3510:4d5:6b14:15db:7d3b,2001:558:feed::2,17692,53,UDP,........,0,0,1,33,1,49,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:50,2021-01-31 15:26:50,0.002,2601:246:d00:3510:4d5:6b14:15db:7d3b,2603:1036:304:284d::2,52489,443,TCP,...AP...,0,0,3,60,3,1221,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    1.800,    0.068,    0.019,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:34,2021-01-31 15:26:34,0.022,10.0.0.182,104.16.249.249,52071,443,TCP,...AP...,0,0,2,79,1,59,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.090,   22.545,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:27,2021-01-31 15:26:47,20.046,34.203.91.157,10.0.0.182,443,51421,TCP,...AP...,0,0,6,360,7,450,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    3.391,   39.871, 9998.582,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:26,2021-01-31 15:26:46,20.080,54.211.89.16,10.0.0.182,443,52516,TCP,...A....,0,0,3,96,3,96,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,10035.809,    0.038,    0.028,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:29,2021-01-31 15:26:45,16.021,2607:f8b0:4001:c07::bd,2601:246:d00:3510:4d5:6b14:15db:7d3b,443,51020,UDP,........,0,0,13,349,13,429,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
